country	time_of_day	animal	attacks
Myanmar	Afternoon	American black bear	7330
Russia	Evening	Crimson-breasted shrike	6732
Russia	Morning	Asian openbill	6533
United States	Afternoon	Weaver, red-billed buffalo	8648
China	Night	Roller, lilac-breasted	6829
Somalia	Morning	Ibex	1685
China	Evening	Macaw, blue and yellow	7194
Philippines	Morning	Devil, tasmanian	3591
North Korea	Afternoon	Tortoise, asian foreset	7493
China	Evening	Crane, blue	8282
Norway	Morning	Peregrine falcon	2163
Philippines	Evening	Water legaan	3302
Indonesia	Night	Tayra	8746
Zimbabwe	Evening	Swainson's francolin	4136
France	Morning	Magistrate black colobus	425
China	Morning	Cottonmouth	8417
Russia	Afternoon	Vulture, bengal	9259
Finland	Morning	Northern elephant seal	5821
Macedonia	Morning	Wild water buffalo	511
Russia	Afternoon	Duiker, gray	5277
Sweden	Night	Rufous-collared sparrow	8485
Cuba	Afternoon	Coatimundi, ring-tailed	5224
Thailand	Night	Lesser mouse lemur	4990
Iran	Night	Boa, emerald green tree	3173
France	Afternoon	Black-tailed prairie dog	9782
Russia	Evening	Peacock, indian	518
Peru	Evening	Glider, feathertail	1646
Russia	Afternoon	African ground squirrel (unidentified)	2518
China	Night	Indian peacock	8349
Poland	Night	Ring-tailed possum	7812
France	Morning	Ibis, glossy	6962
Poland	Morning	Cat, african wild	9862
Dominican Republic	Afternoon	American black bear	6509
Japan	Evening	Eastern grey kangaroo	3264
Nigeria	Night	Spurfowl, yellow-necked	1721
Indonesia	Night	Worm snake (unidentified)	7890
Portugal	Night	Deer, roe	4075
Russia	Evening	Eurasian beaver	7601
Portugal	Afternoon	American bighorn sheep	4149
Finland	Night	Macaque, rhesus	480
China	Evening	Duck, blue	6310
South Africa	Afternoon	Snowy sheathbill	8998
China	Evening	Tawny eagle	6520
China	Evening	Superb starling	5167
Thailand	Night	Australian masked owl	915
Brazil	Afternoon	Gray heron	9992
Russia	Afternoon	Robin, kalahari scrub	6153
Slovenia	Evening	Eagle, tawny	4998
Nicaragua	Morning	Bushpig	5071
China	Night	Beaver, north american	7132
Albania	Morning	Racer snake	2692
Mexico	Evening	Beisa oryx	7338
Latvia	Morning	Cereopsis goose	4775
